,startdate,adjusted_approve,adjusted_disapprove
229,2017-09-06,38.877264000000004,54.61537599999999
230,2017-09-07,39.6520723076923,53.911104615384616
231,2017-09-08,38.1080775,55.53607125
232,2017-09-09,36.493908,57.01553199999999
233,2017-09-10,38.74492333333333,55.296249166666655
234,2017-09-11,38.617337500000005,53.74351166666667
235,2017-09-12,39.14182181818182,54.28301636363636
236,2017-09-13,38.79204888888889,55.401135555555555
237,2017-09-14,40.048410714285716,54.055098571428566
238,2017-09-15,40.25960538461538,52.14996461538461
239,2017-09-16,38.733906000000005,54.21553200000001
240,2017-09-17,39.44615588235294,54.29915882352942
241,2017-09-18,38.966679,54.955631000000004
242,2017-09-19,38.90318333333333,53.95976666666667
243,2017-09-20,39.083594444444444,54.76473777777778
244,2017-09-21,37.82788846153846,55.41685076923078
245,2017-09-22,39.67407307692307,54.4194423076923
246,2017-09-23,38.87390799999999,55.27553
247,2017-09-24,38.41733642857143,55.144040000000004
248,2017-09-25,38.291833000000004,55.970223
249,2017-09-26,38.10358363636363,55.88792181818182
250,2017-09-27,37.91325538461538,57.25343384615384
251,2017-09-28,38.092572727272724,56.966920909090916
252,2017-09-29,38.77986153846154,55.855066153846145
253,2017-09-30,38.78265857142857,55.989575714285714
254,2017-10-01,38.51995333333333,56.248281666666664
255,2017-10-02,38.54556,55.89971285714285
256,2017-10-03,38.28984888888889,55.795323333333336
257,2017-10-04,37.87413142857143,56.742571428571424
258,2017-10-05,39.092322631578945,55.405081578947375
259,2017-10-06,37.573906,56.235532
260,2017-10-07,37.383233,55.57827999999999
261,2017-10-08,37.231274285714285,56.771142857142856
262,2017-10-09,37.97413285714286,56.07114285714287
263,2017-10-10,38.796246363636364,54.63294090909092
264,2017-10-11,38.231274285714285,56.07114142857143
265,2017-10-12,38.2954795,56.07377650000001
266,2017-10-13,37.693908,57.07553
267,2017-10-14,37.956038571428564,57.146891428571436
268,2017-10-15,37.72862,56.166000000000004
269,2017-10-16,36.745560000000005,57.456857142857146
270,2017-10-17,36.541973846153844,57.16434307692308
271,2017-10-18,37.17827666666666,57.0902488888889
272,2017-10-19,37.851466470588235,56.63411176470589
273,2017-10-20,35.893906,57.57553
274,2017-10-21,35.913906000000004,58.135532
275,2017-10-22,36.900905,57.1647525
276,2017-10-23,37.23179181818182,57.062460909090916
277,2017-10-24,37.81651555555556,55.70865666666667
278,2017-10-25,37.06379666666667,56.53004111111111
279,2017-10-26,38.44998117647058,56.19355941176472
280,2017-10-27,37.02009777777777,57.58749888888888
281,2017-10-28,35.673906,59.955532000000005
282,2017-10-29,37.747731538461544,57.17785230769231
283,2017-10-30,37.68841714285714,57.628284285714294
284,2017-10-31,38.08532818181818,55.9118190909091
285,2017-11-01,37.976191111111106,54.95818
